18.25	36	1	L
19.75	42	1	L
16.5	33	1	L
18.25	39	1	L
19.5	43	1	L
16.25	34	1	L
17.25	37	1	L
19	41	1	L
16.25	27	1	U
17.5	30	1	U
15.5	26	1	U
19.75	35	1	U
22	39	1	U
18.25	31	1	U
18.25	27	1	U
20.5	35	1	U
16	27	1	U
18	35	1	U
20.25	40	1	U
19.75	41	1	U
19	38	1	U
19.75	38	1	U
17.5	39	1	U
21	42	1	U
21.75	46	1	U
23	56	1	U
22.25	53	1	DH
23	54	1	DH
23	53	1	DH
19	38	1	DH
23.25	53	1	DH
24	59	1	DH
22	50	1	DH
19	38	1	DH
19.75	44	1	DH
22.25	43	1	DH
21.75	47	1	DH
23.25	54	1	DH
24.25	56	1	DH
23.25	56	1	DH
24.25	57	1	DH
24.5	58	1	DH
23	52	1	DH
22.5	52	1	DH
21.25	47	1	DH
19.75	44	1	DH
22.5	49	1	DH
18.75	37	1	DH
12.5	32	1	DH
18	35	1	DH
23.5	56	1	DH
24	58	1	DH
23.75	52	1	DH
23.75	54	1	DH
23.25	58	1	DH
21.25	43	1	DH
23.25	51	1	DH
20.5	40	1	DH
23.25	52	1	DH
22.25	46	1	DH
23.75	54	1	DH
24.75	56	1	DH
24.25	55	1	DH
21.25	46	1	DH
20.75	47	1	DH
19.75	43	1	DH
22.25	52	1	DH
20.25	40	1	DH
18.75	36	1	DH
21.25	47	1	DH
22	51	1	DH
19.75	39	1	DH
16.25	34	1	DH
21	48	1	DH
18.75	41	1	DH
21.75	48	1	DH
19.25	37	1	DH
19.75	43	1	DH
21.25	45	1	DH
22	50	1	DH
21.75	52	1	DH
20.25	45	1	DH
23.25	53	1	DH
18.25	35	1	DH
22.75	46	1	DH
20.75	41	1	DH
18.5	35	1	DH
21.75	43	1	DH
19.75	36	1	DH
23.75	56	1	DH
23.25	52	1	DH
22.5	49	1	DH
22.25	46	1	DH
22.25	47	1	DH
23.5	57	1	DH
24.25	61	1	DH
21.25	46	1	DH
22.5	54	1	DH
23	57	1	DH
21.75	49	1	DH
21.25	44	1	DH
22	44	1	DH
15.75	31	1	DH
21.5	42	1	DH
21.75	41	1	DH
21.25	41	1	DH
23	49	1	DH
20.75	38	1	DH
21	39	1	DH
22.25	43	1	DH
22.25	54	1	DH
22.75	53	1	DH
23.25	56	1	DH
21.25	46	1	DH
21.75	44	1	DH
22.75	55	1	DH
22.25	50	1	DH
19	36	1	DH
19.25	35	1	DH
23.75	56	1	DH
22.5	46	1	DH
23.25	52	1	DH
22.75	48	1	DH
23.25	51	1	DH
23.25	47	1	DH
22.75	50	1	DH
15.25	28	1	DH
23	49	1	DH
22.75	49	1	DH
22.75	46	1	DH
23.25	47	1	DH
23	47	1	DH
23.25	50	1	DH
23.75	48	1	DH
23	50	1	DH
24.75	58	1	DH
25.25	60	1	DH
23.75	55	1	DH
16.75	32	1	DH
22.75	52	1	DH
24.25	54	1	DH
15.25	29	1	DH
23.25	55	1	DH
23.25	59	1	DH
24.5	60	1	DH
23.25	49	1	DH
20.75	39	1	DH
25.25	65	1	DH
22.25	49	1	DH
23.75	62	1	DH
23.75	54	1	DH
24.25	63	1	DH
23.75	54	1	DH
23.75	54	1	DH
22.25	58	1	DH
24.75	60	1	DH
25.25	59	1	DH
24.25	62	1	DH
